Date,Close/Last,Volume,Open,High,Low
06/27/2025,$27.00,18629440,$27.40,$27.76,$26.74
06/26/2025,$27.15,13857770,$27.10,$27.55,$27.00
06/25/2025,$26.82,15726060,$27.53,$27.55,$26.82
06/24/2025,$27.53,19116210,$27.25,$27.8675,$27.04
06/23/2025,$26.87,17264150,$27.20,$27.625,$26.61
06/20/2025,$27.76,22582970,$28.515,$28.61,$27.52
06/18/2025,$28.50,12211630,$29.34,$29.42,$28.48
06/17/2025,$29.44,8850713,$30.45,$30.61,$29.425
06/16/2025,$30.57,10658460,$30.34,$30.57,$29.88
06/13/2025,$29.90,10271560,$29.92,$31.02,$29.79
06/12/2025,$30.14,6817248,$30.21,$30.45,$29.95
06/11/2025,$30.68,7842271,$31.06,$31.18,$30.275
06/10/2025,$30.70,10985060,$29.68,$30.885,$29.55
06/09/2025,$29.39,11394410,$28.80,$29.795,$28.78
06/06/2025,$28.55,6728350,$28.35,$28.845,$28.305
06/05/2025,$28.18,8640670,$28.51,$28.605,$27.95
06/04/2025,$28.28,8844742,$27.85,$28.33,$27.69
06/03/2025,$27.79,10557580,$27.20,$28.055,$26.49
06/02/2025,$27.20,12390490,$27.66,$27.73,$26.8544
05/30/2025,$27.74,13965340,$27.955,$28.04,$27.43
05/29/2025,$28.79,10239300,$28.84,$29.09,$28.20
05/28/2025,$28.34,7731613,$29.00,$29.09,$28.26
05/27/2025,$28.92,8763090,$28.85,$29.04,$28.69
05/23/2025,$28.32,7095222,$28.15,$28.47,$27.91
05/22/2025,$28.67,6885103,$28.54,$28.845,$28.32
05/21/2025,$28.75,8938554,$29.51,$29.67,$28.69
05/20/2025,$29.79,5576378,$30.14,$30.2856,$29.7119
05/19/2025,$30.11,5937139,$29.65,$30.22,$29.405
05/16/2025,$30.19,5872555,$29.89,$30.295,$29.53
05/15/2025,$29.90,6481018,$29.80,$29.959,$29.395
05/14/2025,$30.17,6434869,$30.68,$30.77,$30.05
05/13/2025,$30.77,8502817,$30.93,$31.22,$30.60
05/12/2025,$30.98,11832540,$31.65,$32.39,$30.94
05/09/2025,$29.48,8162752,$29.45,$29.76,$29.205
05/08/2025,$29.24,7786950,$28.74,$29.7399,$28.6585
05/07/2025,$28.45,8817769,$29.00,$29.11,$28.275
05/06/2025,$28.80,7691287,$28.89,$29.28,$28.63
05/05/2025,$28.95,9061748,$29.905,$30.00,$28.92
05/02/2025,$30.42,8619373,$30.86,$31.06,$30.21
05/01/2025,$30.53,7009550,$30.68,$30.845,$30.27
04/30/2025,$30.59,11306070,$30.215,$30.64,$29.76
04/29/2025,$30.65,9498782,$29.80,$30.715,$29.77
04/28/2025,$29.95,9347169,$30.25,$30.94,$29.71
04/25/2025,$30.02,12991600,$29.34,$30.08,$29.12
04/24/2025,$29.76,13069320,$28.52,$30.1791,$28.05
04/23/2025,$29.00,10727020,$30.06,$30.75,$28.735
04/22/2025,$29.00,8488251,$28.54,$29.35,$28.50
04/21/2025,$28.12,7745064,$28.17,$28.34,$27.71
04/17/2025,$28.15,8474932,$27.73,$28.41,$27.73
04/16/2025,$27.47,8672378,$27.70,$28.18,$27.225
04/15/2025,$27.70,12375840,$28.07,$28.76,$27.685
04/14/2025,$28.88,10448530,$29.15,$29.45,$28.26
04/11/2025,$28.43,11189060,$27.01,$28.51,$26.47
04/10/2025,$27.29,15213230,$28.80,$28.82,$26.62
04/09/2025,$29.86,19876890,$25.35,$30.14,$25.06
04/08/2025,$25.81,17050540,$29.00,$29.00,$25.32
04/07/2025,$27.52,19652880,$27.22,$29.29,$26.3284
04/04/2025,$28.20,18677460,$30.21,$30.44,$28.045
04/03/2025,$31.46,18080860,$33.48,$33.64,$31.38
04/02/2025,$34.89,5146669,$34.32,$35.17,$34.30
04/01/2025,$34.61,6446040,$34.48,$34.765,$34.0941
03/31/2025,$34.92,8477150,$34.12,$35.21,$33.93
03/28/2025,$34.36,6913670,$35.06,$35.22,$34.125
03/27/2025,$35.24,6911890,$35.00,$35.40,$34.61
03/26/2025,$35.58,5813549,$35.27,$35.78,$35.13
03/25/2025,$35.32,7217983,$36.29,$36.32,$35.225
03/24/2025,$36.29,6797417,$36.53,$36.8584,$35.97
03/21/2025,$36.17,13257720,$36.25,$36.3552,$35.8138
03/20/2025,$36.61,5406614,$36.76,$37.00,$36.50
03/19/2025,$37.19,5525055,$37.50,$37.72,$37.04
03/18/2025,$37.61,4865955,$37.77,$37.80,$37.32
03/17/2025,$37.51,5097096,$37.01,$37.785,$37.01
03/14/2025,$36.97,5991563,$36.78,$37.18,$36.66
03/13/2025,$36.23,7958431,$35.68,$37.20,$35.62
